subject,arm,timepoint,query,tax_id,parent_tax_id
10,P,0,SRR5580236.2801850,57477,1918011
10,P,0,SRR5580239.1740683,320846,1623298
10,P,0,SRR5580239.80814,38018,12333
10,P,0,SRR5580236.1406848,187944,196894
10,P,0,SRR5580236.2578368,861448,12333
10,P,0,SRR5580238.1867690,230158,196896
10,P,0,SRR5580239.408618,1162295,1914897
10,P,0,SRR5580237.4136257,38018,12333
10,P,0,SRR5580239.1764577,291401,12333
10,P,0,SRR5580237.2619330,38018,12333
10,P,0,SRR5580237.660036,870473,12333
10,P,0,SRR5580233.2315118,38018,12333
10,P,0,SRR5580238.2778659,458639,196896
10,P,0,SRR5580233.915505,571950,12333
10,P,0,SRR5580233.2761440,1325953,196894
10,P,0,SRR5580233.115565,1161927,196896
10,P,0,SRR5580237.4010381,555387,329380
10,P,0,SRR5580238.2989491,291401,12333
10,P,0,SRR5580239.2122448,1327759,196894
10,P,0,SRR5580238.493516,1034132,2006134
10,P,0,SRR5580233.2094409,445700,196896
10,P,0,SRR5580237.4574438,320841,1623298
10,P,0,SRR5580239.1715964,335924,196896
10,P,0,SRR5580233.1366919,431892,140410
10,P,0,SRR5580239.2273656,1029988,196894
10,P,0,SRR5580233.2914178,1175654,1982241
10,P,0,SRR5580233.2723309,861448,12333
10,P,0,SRR5580236.159267,557989,12333
10,P,0,SRR5580239.665677,38018,12333
10,P,0,SRR5580238.1302221,1029988,196894
10,P,0,SRR5580237.4400844,1211280,1921529
10,P,0,SRR5580236.2407130,1289595,12333
10,P,0,SRR5580233.289816,861448,12333
10,P,0,SRR5580236.15249,1279082,196896
10,P,0,SRR5580237.9431241,38018,12333
10,P,0,SRR5580239.1175888,38018,12333
10,P,0,SRR5580238.1528425,38018,12333
10,P,0,SRR5580238.2060702,557989,12333
10,P,0,SRR5580233.300817,1414736,196894
10,P,0,SRR5580237.3669565,1084719,686598
10,P,0,SRR5580236.1486044,663241,196894
10,P,0,SRR5580237.5185731,1079896,196894
10,P,0,SRR5580236.2390138,57477,1918011
10,P,0,SRR5580238.720273,889338,1914892
10,P,0,SRR5580238.2331657,571950,12333
